"","Current or provisional name","Name used in publication","Collected as","Collection Number (PTM)","UBC Accession #","Genbank Number","Collection Date","Habitat","Site #","Notes","PSBA.Accession","COI.5P.Accession","rbcL.Accession"
"38","Crusticorallina painei","Crusticorallina painei","Coralline crust",1070,"A91407","MK567591  ","July 7, 2014","subtidal, 13.7 m",1,"quad 3-sample 2; on rock","MK567591","",""
"39","Bossiella reptans","Bossiella reptans","Bossiella sp.",1071,"A92038","MK567621  ","July 7, 2014","subtidal, 13.7 m",1,"quad 3-sample 3a; on rock","MK567621","",""
"40","Chiharaea americana","Chiharaea americana","Coralline crust",1072,"A92039","MK567606  ","July 7, 2014","subtidal, 13.7 m",1,"quad 3-sample 3b; on bryozoan; need DNA; voucher in bag","MK567606","",""
"41","Chiharaea americana","Chiharaea americana","Coralline crust",1073,"no voucher","MK567616  ","July 7, 2014","subtidal, 13.7 m",1,"quad 3-sample 5; on rock; no voucher","MK567616","",""
"42","Bossiella reptans","Bossiella reptans","Bossiella sp.",1074,"A92040","MK567563  ","July 7, 2014","subtidal 13.0m",1,"quad 4-sample 1; on rock","MK567563","",""
"43","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1075,"A92041"," MK590042 ","July 7, 2014","subtidal 13.0m",1,"quad 4-sample 2; dirty; on rock","","MK590042",""
"44","Chiharaea americana","Chiharaea americana","Coralline crust",1076,"A92042","MK567625  ","July 7, 2014","subtidal 13.0m",1,"quad 4-sample 3; on rock","MK567625","",""
"45","Lithothamnion glaciale","Lithothamnion glaciale","Coralline crust",1077,"A92043","MK567613  ","July 7, 2014","subtidal, 13.0m",1,"quad 4-sample 4; on rock","MK567613","",""
"46","Chiharaea americana","Chiharaea americana","Chiharaea americana",1078,"A92044","MK567605  ","July 7, 2014","subtidal, 12.8m",1,"quad 5-sample 1; voucher on rock","MK567605","",""
"47","Corillinac sp.4BCcrust","Lithophyllum sp.2","Coralline crust",1079,"A92045","MK567596  ","July 7, 2014","subtidal, 12.8m",1,"quad 5-sample 2","MK567596","",""
"48","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1080,"A91408"," MK590043 ","July 7, 2014","subtidal, 12.8m",1,"quad 5-sample 3","","MK590043",""
"49","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1081,"A91409"," MK590035 ","July 7, 2014","subtidal, 12.8m, on limpet",1,"quad 5-sample 4; needs DNA; voucher in bag","","MK590035",""
"50","Lithothamnion glaciale","Lithothamnion glaciale","Lithothamnion phymatodeum",1082,"A92046","MK567588  ","July 7, 2014","subtidal, 12.8m",1,"quad 5-sample 5","MK567588","",""
"51","Lithothamnion glaciale","Lithothamnion glaciale","Coralline crust",1083,"A92047","MK567543  ","July 7, 2014","subtidal 12.9m",1,"quad 6-sample 1","MK567543","",""
"52","Chiharaea americana","Chiharaea americana","Chiharaea americana",1084,"A92048","MK567586  ","July 7, 2014","subtidal 12.9m",1,"quad 6-sample 2","MK567586","",""
"53","Melobesia sp.","Melobesia sp.","Coralline crust",1085,"A92049","MK567550  ","July 7, 2014","subtidal 12.9m",1,"quad 6-sample 3; on Bossiella schmittii","MK567550","",""
"54","Lithophyllum sp.4","Lithophyllum sp.4","Coralline crust",1086,"no voucher","MK567559  ","July 7, 2014","subtidal 12.9m",1,"quad 6-sample 4; very tiny!; DNA only; no voucher","MK567559","",""
"55","Crusticorallina painei","Crusticorallina painei","Coralline crust",1096,"no voucher","MK567578  ","July 8, 2014","subtidal, 14.4m",4,"quad 1-sample 1; no voucher; DNA only","MK567578","",""
"56","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1097,"no voucher","MK567573  ","July 8, 2014","subtidal, 14.4m",4,"quad 1-sample 2; no voucher; DNA only","MK567573","",""
"57","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1098,"no voucher","MK567592  ","July 8, 2014","subtidal, 14.4m",4,"quad 1-sample 3; no voucher; DNA only; same as 1097?","MK567592","",""
"58","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1099,"A92059","MK567572  ","July 8, 2014","subtidal, 14.4m",4,"quad 1-sample 4; voucher in bag; same as 1098?","MK567572","",""
"59","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1100,"no voucher","MK567556  ","July 8, 2014","subtidal, 14.4m",4,"quad 1-sample 5; no voucher; DNA only; same as 1099?","MK567556","",""
"60","Lithophyllum sp.4","Lithophyllum sp.4","Coralline crust",1101,"no voucher","MK567574  ","July 8, 2014","subtidal, 14.4m",4,"quad 2-sample 1; no voucher, DNA only","MK567574","",""
"61","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1102,"no voucher","MK567615  ","July 8, 2014","subtidal, 14.4m",4,"quad 2-sample 1; no voucher, DNA only; very small sample","MK567615","",""
"62","Crusticorallina muricata","Crusticorallina muricata","Coralline crust",1104,"A91410","MK567545  ","July 8, 2014","subtidal, 14.1m",4,"quad 3-sample 1","MK567545","",""
"63","Chiharaea americana","Chiharaea americana","Coralline crust",1105,"A92061","MK567566  ","July 8, 2014","subtidal, 14.1m",4,"quad 3-sample 2 (C. americana?)","MK567566","",""
"64","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1106,"no voucher","MK567581  ","July 8, 2014","subtidal, 14.1m",4,"quad 3-sample 3; no voucher; DNA only; very tiny sample","MK567581","",""
"65","Lithophyllum sp.4","Lithophyllum sp.4","Coralline crust",1107,"no voucher","MK567604  ","July 8, 2014","subtidal, 14.1m",4,"quad 3-sample 4; no voucher; DNA only; samll sample","MK567604","",""
"66","Neopolyporolithon loculosum","Neopolyporolithon loculosum","Coralline crust",1108,"A92062","MK567595  ","July 8, 2014","subtidal, 14.1m",4,"quad 3-sample 5","MK567595","",""
"67","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1113,"A92065"," MK590038 ","July 8, 2014","subtidal, 12.9m",4,"quad 4-sample 1","","MK590038",""
"68","Lithophyllum sp.4","Lithophyllum sp.4","Coralline crust",1114,"no voucher","MK567623  ","July 8, 2014","subtidal, 12.9m",4,"quad 4-sample 2; no voucher; DNA only; very small sample","MK567623","",""
"69","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1115,"A92066","MK567570  ","July 8, 2014","subtidal, 12.9m",4,"quad 5-sample 1","MK567570","",""
"70","Lithophyllum sp.2","Lithophyllum sp.1","Coralline crust",1116,"no voucher","MK567557  ","July 8, 2014","subtidal, 12.9m",4,"quad 5-sample 2; no voucher; DNA only; very small sample","MK567557","",""
"71","Lithophyllum sp.4","Lithophyllum sp.4","Coralline crust",1117,"A92067","MK567609  ","July 8, 2014","subtidal, 12.9m",4,"quad 5-sample 3; small sample; duplicate of 1116?","MK567609","",""
"72","Crusticorallina muricata","Crusticorallina muricata","Coralline crust (P. whid?)",1118,"A91413","MK567619  ","July 8, 2014","subtidal 13m",4,"quad 6-sample 1; P. whidbeyense?","MK567619","",""
"73","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1119,"A91414","  MK567540","July 8, 2014","subtidal 13m",4,"quad 6-sample 2; on cup coral","","","MK567540"
"74","Lithophyllum sp.4","Lithophyllum sp.4","Coralline crust",1120,"A92068","MK567603  ","July 8, 2014","subtidal 13m",4,"quad 6-sample 3; hard to sample; dark pink speckled (conceptacles)","MK567603","",""
"75","Lithophyllum sp.4","Lithophyllum sp.4","Coralline crust",1121,"no voucher","MK567562  ","July 8, 2014","subtidal 13m",4,"quad 6-sample 4; no voucher; DNA only; same as 1120?","MK567562","",""
"76","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1122,"A91415","  MK567538","July 8, 2014","subtidal 13m",4,"quad 6-sample 5; voucher in bag; same as 1110?","","","MK567538"
"77","Lithophyllum sp.2","Lithophyllum sp.1","Coralline crust",1123,"A92069","MK567579  ","July 8, 2014","subtidal 13m",4,"quad 6-sample 6; dark speckled; same as 1120?","MK567579","",""
"78","Crusticorallina adhaerens","Crusticorallina adhaerens","coralline crust",1190,"A92118"," MK590036 ","July 13, 2014","subtidal 12.8m",2,"quad 1-sample 1; wormy","","MK590036",""
"79","Chiharaea americana","Chiharaea americana","Chiharaea americana",1191,"A91430","MK567598  ","July 13, 2014","subtidal 12.8m",2,"quad 1-sample 2; not a sequencing priority","MK567598","",""
"80","Crusticorallina painei","Crusticorallina painei","Coralline crust",1192,"A91431","MK567555  ","July 13, 2014","subtidal 12.8m",2,"quad 1-sample 3","MK567555","",""
"81","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1193,"A91422","MK567601  ","July 13, 2014","subtidal 12.8m",2,"quad 1-sample 4; dirty sample","MK567601","",""
"82","Lithothamnion glaciale","Lithothamnion glaciale","Coralline crust",1194,"A92119","MK567583  ","July 13, 2014","subtidal 12.8m",2,"quad 1-sample 5; on whelk; voucher in bag; needs DNA","MK567583","",""
